,SEXO,EDAD,BECA18/REGULAR,MODALIDAD,CARRERA,TIPO_EBR,EBIO,EQUI,EFIS,EMAT,ECL
927,0,8,1,14,5,0,13,8,1,12,8
1280,1,2,1,7,8,0,4,7,7,3,6
980,0,3,1,4,0,1,19,17,0,17,15
668,0,3,1,3,4,1,6,6,0,11,10
624,0,2,1,5,15,0,17,12,6,9,12
661,0,3,1,4,10,0,20,16,12,18,13
323,0,3,1,5,0,0,0,0,0,0,0
1445,1,2,1,4,8,0,15,0,4,10,0
1224,1,6,1,3,13,0,10,0,0,4,10
750,0,2,1,5,0,0,0,0,0,0,0
1321,1,3,1,10,10,0,17,17,13,18,6
868,0,4,1,4,12,0,15,6,0,11,16
363,0,3,1,3,10,0,20,17,14,20,17
666,0,4,1,4,10,0,20,18,11,17,19
852,0,4,1,3,8,1,17,9,8,10,14
855,0,3,1,5,1,0,0,0,0,0,0
338,0,3,1,3,8,1,15,13,10,6,14
1178,1,2,1,3,15,1,18,15,11,10,13
1473,1,2,1,4,10,0,18,18,17,20,16
1008,0,3,1,4,4,0,15,12,0,9,16
748,0,4,1,3,12,0,0,0,0,0,0
1241,1,2,1,4,1,1,10,0,0,12,11
1248,1,4,1,4,0,1,0,0,0,0,0
1246,1,6,1,14,17,0,0,0,0,0,0
88,0,3,0,7,8,1,0,0,0,0,0
645,0,4,1,4,13,0,0,0,0,0,0
1487,1,3,1,4,10,0,20,19,14,18,17
805,0,2,1,4,0,0,16,5,0,10,11
291,0,2,1,5,5,0,0,0,0,0,7
416,0,2,1,0,0,1,0,0,0,0,0
665,0,4,1,4,0,0,17,9,0,7,13
827,0,2,1,5,0,0,18,13,0,13,12
516,0,3,1,4,11,0,17,16,9,15,15
1159,1,3,1,4,8,0,18,17,13,0,0
675,0,5,1,9,6,0,16,7,0,7,2
942,0,5,1,3,10,0,19,19,8,19,14
794,0,3,1,4,0,0,14,15,0,11,14
1446,1,2,1,5,5,0,0,0,0,0,0
926,0,7,1,3,6,0,18,4,0,3,13
941,0,5,1,3,2,0,18,0,0,9,16
1372,1,5,1,3,0,0,0,2,0,0,12
1501,1,2,1,4,8,0,18,17,17,19,13
408,0,2,1,3,18,0,15,0,0,0,8
1249,1,3,1,4,10,0,18,17,14,17,16
506,0,2,1,4,8,0,19,13,7,15,14
1204,1,6,1,3,14,0,20,16,7,13,12
584,0,3,1,4,17,0,16,7,10,13,11
1225,1,2,1,4,0,0,13,4,0,13,11
134,0,2,0,5,13,1,0,0,0,0,16
1528,1,4,1,4,13,1,16,0,0,6,6
573,0,3,1,5,5,1,14,7,6,17,14
1023,0,4,1,3,6,0,17,18,0,13,14
859,0,4,1,3,10,0,18,17,13,20,14
1371,1,5,1,9,10,0,20,18,15,18,13
1137,1,3,1,7,8,0,0,0,9,18,0
1300,1,2,1,5,13,0,17,0,0,4,12
471,0,2,1,5,14,0,17,11,5,12,13
428,0,2,1,3,17,0,16,12,9,8,13
1117,1,3,1,7,8,0,14,7,11,16,16
348,0,2,1,3,8,1,18,10,4,8,14
1012,0,3,1,3,10,0,19,20,7,14,17
771,0,3,1,7,8,0,16,16,11,17,14
1016,0,5,1,3,11,0,16,5,6,3,9
227,1,9,0,3,1,0,12,0,0,2,6
605,0,2,1,5,4,1,13,2,0,2,11
985,0,3,1,5,2,1,13,0,0,12,14
1307,1,3,1,5,11,0,14,9,0,1,0
1432,1,11,1,3,8,0,16,14,14,13,18
863,0,4,1,9,10,0,18,17,9,17,0
1360,1,2,1,3,10,1,18,16,15,16,15
589,0,2,1,5,17,0,17,10,6,13,14
680,0,2,1,4,5,0,20,8,0,0,0
1128,1,3,1,7,8,0,0,0,0,0,0
466,0,17,1,3,14,1,0,0,0,0,0
452,0,2,1,4,6,0,18,11,0,12,17
1324,1,5,1,4,10,0,15,17,15,15,15
1287,1,2,1,3,10,0,19,15,14,11,16
342,0,3,1,4,8,0,0,0,0,0,0
1254,1,4,1,3,15,1,17,6,4,7,12
317,0,2,1,5,17,0,0,0,0,0,0
1261,1,2,1,4,12,0,12,13,0,13,13
533,0,3,1,5,13,0,12,0,0,3,12
948,0,2,1,5,17,0,18,14,6,7,11
334,0,3,1,4,0,0,1,10,0,0,0
683,0,2,1,3,10,0,17,6,4,7,7
1143,1,3,1,3,15,0,17,12,12,10,12
402,0,3,1,4,4,0,15,15,0,14,0
324,0,2,1,5,0,0,0,0,0,0,17
1358,1,2,1,5,1,0,0,0,0,0,0
1045,0,4,1,4,17,1,0,0,0,0,0
831,0,3,1,4,11,1,0,0,0,0,0
695,0,3,1,10,10,0,20,18,11,17,17
955,0,3,1,4,13,0,19,0,0,9,12
437,0,5,1,3,11,0,10,4,6,7,6
520,0,4,1,3,13,0,0,0,0,0,11
485,0,3,1,4,14,0,17,9,10,14,13
737,0,11,1,13,4,1,15,2,0,5,13
1484,1,2,1,5,15,1,17,11,8,9,14
810,0,2,1,5,13,0,19,0,0,18,17
366,0,3,1,7,8,0,17,7,10,13,16
889,0,4,1,4,5,0,0,0,0,0,0
1396,1,2,1,5,11,0,15,8,5,0,12
1057,0,3,1,4,6,0,14,13,0,5,15
1005,0,2,1,7,8,0,15,11,11,19,16
762,0,3,1,7,8,0,7,0,3,15,14
885,0,4,1,4,10,0,19,16,10,13,15
1131,1,2,1,0,10,0,19,13,0,0,15
1331,1,9,1,14,12,0,18,16,0,8,16
1511,1,3,1,3,4,1,13,12,0,9,15
375,0,3,1,5,13,0,13,0,0,12,13
1046,0,3,1,5,5,0,20,17,12,11,14
1085,1,2,1,7,8,0,6,10,14,13,14
365,0,2,1,4,10,0,20,20,15,20,20
723,0,2,1,4,11,0,15,15,13,11,16
995,0,2,1,7,8,1,16,8,8,9,16
1326,1,2,1,3,9,0,15,9,7,15,11
306,0,4,1,3,4,0,0,0,0,0,0
854,0,2,1,4,12,0,12,6,0,8,12
1042,0,3,1,5,4,0,16,13,0,14,14
1086,1,6,1,1,9,0,0,0,0,0,0
368,0,3,1,3,11,1,0,0,0,0,0
908,0,3,1,5,4,1,16,8,0,6,13
1269,1,5,1,3,4,1,16,6,0,11,12
921,0,2,1,7,8,0,19,14,9,20,0
354,0,2,1,7,8,1,11,0,0,0,0
887,0,6,1,3,4,0,17,4,0,6,13
618,0,4,1,4,17,0,16,5,0,11,12
517,0,17,1,3,17,1,0,0,0,0,0
907,0,2,1,4,11,0,19,14,12,14,17
1075,1,3,1,4,13,0,17,5,5,8,16
1078,1,5,1,3,14,0,0,0,0,0,0
1202,1,26,1,3,18,1,0,0,0,0,0
295,0,4,1,4,5,1,18,8,3,5,13
598,0,3,1,3,8,0,19,9,5,11,16
1350,1,3,1,7,8,1,0,0,0,0,19
1132,1,4,1,3,5,0,15,8,11,6,14
1028,0,3,1,4,15,0,0,0,0,11,0
444,0,2,1,4,12,0,18,15,0,11,16
351,0,11,1,3,11,1,16,7,6,12,11
54,0,4,0,4,4,1,18,10,0,12,14
871,0,3,1,4,2,0,16,0,0,11,0
822,0,2,1,3,17,1,6,1,0,2,8
301,0,3,1,3,4,1,12,6,0,7,14
512,0,3,1,3,4,0,14,7,0,8,13
1412,1,20,1,3,15,0,14,8,13,8,13
692,0,9,1,3,3,0,0,0,0,0,0
1311,1,4,1,11,10,0,20,12,6,6,16
1038,0,4,1,4,0,1,0,0,0,0,0
1093,1,3,1,7,8,0,18,6,9,13,16
1205,1,9,1,3,17,1,14,8,2,6,9
943,0,2,1,4,11,0,15,12,9,14,17
553,0,3,1,4,0,0,16,9,0,8,16
590,0,3,1,4,8,0,0,0,0,0,0
1229,1,5,1,3,17,0,12,0,0,2,0
562,0,4,1,4,3,0,10,2,9,3,5
398,0,3,1,4,13,0,16,7,4,15,16
373,0,25,1,3,15,0,0,0,0,0,0
1380,1,4,1,3,4,1,16,7,0,8,13
825,0,3,1,4,6,0,20,18,0,13,13
949,0,2,1,4,10,0,19,16,14,18,19
916,0,3,1,7,8,0,19,10,9,18,18
299,0,3,1,2,10,0,17,12,11,11,13
1221,1,4,1,3,10,1,19,5,16,12,16
978,0,3,1,5,12,0,16,7,0,10,17
1055,0,8,1,3,13,0,10,0,0,16,12
1089,1,3,1,11,10,0,18,18,14,17,13
602,0,2,1,3,4,0,16,12,0,11,13
1477,1,3,1,4,10,0,20,19,17,20,16
391,0,2,1,4,5,0,0,0,0,0,0
719,0,2,1,5,5,0,18,13,11,10,13
1138,1,3,1,4,10,0,19,16,13,19,0
905,0,3,1,8,14,0,19,14,10,15,13
648,0,5,1,13,4,0,17,3,0,0,0
1264,1,2,1,5,11,0,18,15,8,13,13
1474,1,2,1,4,0,0,17,17,0,13,16
569,0,3,1,4,13,0,16,0,0,15,13
198,1,3,0,4,13,1,7,0,0,6,12
936,0,4,1,9,10,0,20,18,10,20,0
284,0,2,1,5,11,0,13,0,12,0,0
1080,1,4,1,4,10,0,18,15,5,18,19
1158,1,3,1,4,12,0,15,13,0,6,14
755,0,2,1,5,5,0,18,15,11,15,13
1083,1,9,1,3,17,1,15,11,11,15,15
1390,1,14,1,9,15,1,19,11,3,9,14
656,0,3,1,5,13,0,12,0,0,13,13
1176,1,3,1,4,3,0,17,11,2,10,13
1073,0,4,1,4,17,0,18,15,12,10,14
1122,1,6,1,13,17,0,18,3,11,14,17
787,0,3,1,4,11,0,15,11,5,8,13
1013,0,3,1,7,8,0,20,16,11,17,17
1387,1,5,1,11,11,0,13,9,7,4,6
1259,1,3,1,3,10,0,0,0,0,0,0
287,0,3,1,5,4,1,11,10,0,14,11
424,0,2,1,5,11,0,19,17,13,16,15
494,0,3,1,4,5,0,14,5,2,6,13
1066,0,4,1,4,13,0,0,0,0,0,0
1404,1,8,1,3,0,0,18,9,0,13,16
1335,1,3,1,12,10,0,20,16,11,16,14
1308,1,3,1,4,0,1,20,12,0,8,12
1040,0,3,1,7,8,0,10,5,11,13,12
1512,1,4,1,3,10,1,19,15,15,18,13
739,0,3,1,5,16,0,7,5,0,4,0
403,0,3,1,9,10,0,19,18,7,18,15
890,0,3,1,4,13,0,15,0,0,10,16
1217,1,2,1,3,8,1,14,11,0,0,13
914,0,8,1,13,13,0,0,0,0,0,0
1109,1,3,1,4,0,0,19,11,0,14,18
1198,1,2,1,4,10,0,19,15,10,17,17
536,0,13,1,3,5,0,0,0,0,0,0
877,0,3,1,4,4,0,15,11,0,14,14
1451,1,2,1,4,8,0,20,18,18,19,16
937,0,4,1,10,10,0,16,16,9,12,16
1332,1,3,1,5,13,0,6,0,0,6,15
1235,1,5,1,3,15,0,17,6,6,4,6
820,0,4,1,3,17,0,13,5,2,6,0
1468,1,2,1,5,0,0,16,14,0,8,14
986,0,4,1,4,0,0,18,12,0,15,14
1048,0,3,1,4,10,1,19,17,17,17,13
147,0,5,0,9,6,1,15,10,0,9,13
376,0,4,1,9,10,0,19,13,8,18,3
571,0,3,1,4,4,1,14,12,0,11,16
504,0,2,1,5,11,0,0,0,0,0,0
1298,1,2,1,4,14,0,18,11,12,7,11
1238,1,4,1,3,5,0,19,14,14,14,6
1183,1,3,1,7,8,1,16,12,11,13,16
1236,1,3,1,4,13,1,0,0,0,0,0
1505,1,4,1,4,10,0,18,16,19,18,15
439,0,3,1,4,12,0,16,1,3,4,13
364,0,6,1,10,10,1,19,18,14,13,0
1498,1,3,1,7,8,0,12,0,11,16,0
1255,1,3,1,4,14,0,11,10,9,14,15
858,0,4,1,4,6,0,19,15,0,13,14
429,0,3,1,3,11,0,0,0,0,0,0
550,0,8,1,3,13,0,14,0,0,9,12
746,0,4,1,4,10,0,18,14,15,19,14
597,0,3,1,4,5,1,12,0,0,0,0
1351,1,3,1,4,13,0,0,0,0,0,0
285,0,3,1,3,2,1,10,0,0,7,12
999,0,8,1,9,4,1,0,0,0,0,0
1401,1,3,1,4,10,0,20,17,17,15,15
1305,1,3,1,4,8,0,16,6,15,11,13
767,0,3,1,5,11,0,19,12,5,11,14
621,0,2,1,4,5,1,13,4,4,5,8
294,0,3,1,4,14,0,16,0,0,2,0
726,0,2,1,3,5,1,13,6,3,7,9
406,0,2,1,3,11,0,14,4,2,9,5
1363,1,2,1,5,5,0,12,10,1,7,11
420,0,4,1,4,14,0,14,10,3,10,13
141,0,4,0,4,0,1,19,7,0,10,18
761,0,6,1,10,0,0,0,0,0,0,0
297,0,2,1,9,10,0,20,13,10,18,15
440,0,6,1,13,5,1,0,0,0,0,0
796,0,3,1,3,10,0,20,16,14,15,16
765,0,2,1,5,15,0,18,16,3,10,12
910,0,2,1,4,5,0,18,7,7,15,2
1295,1,2,1,3,6,1,0,0,0,0,0
1084,1,4,1,4,17,0,17,17,11,11,17
1319,1,4,1,4,0,1,17,13,0,15,16
730,0,3,1,3,5,0,0,5,4,1,4
1215,1,2,1,5,9,1,0,0,0,7,15
1453,1,3,1,4,13,0,0,0,0,0,0
532,0,5,1,3,4,0,0,0,0,0,0
1345,1,2,1,4,8,0,16,11,10,20,16
1053,0,3,1,5,4,0,0,0,0,0,0
1509,1,2,1,7,8,0,0,0,0,0,13
474,0,3,1,3,10,0,19,17,7,19,16
272,1,7,0,8,10,1,0,0,0,0,0
686,0,3,1,12,10,0,19,18,11,15,16
1492,1,2,1,4,15,0,20,12,11,11,13
478,0,2,1,5,5,0,0,0,0,0,0
286,0,2,1,4,13,0,15,0,0,6,7
1004,0,4,1,4,11,0,18,16,7,14,11
718,0,2,1,4,10,0,17,14,7,1,9
1500,1,6,1,3,17,1,14,9,6,12,13
1507,1,3,1,4,12,1,0,0,0,0,0
939,0,3,1,5,6,0,17,14,0,7,16
891,0,3,1,4,11,0,15,9,4,10,14
1354,1,3,1,4,13,0,14,0,0,10,6
1315,1,3,1,5,17,1,19,15,11,6,14
1407,1,3,1,4,8,0,20,17,10,14,13
1056,0,3,1,9,10,0,18,15,9,20,16
409,0,3,1,4,17,0,0,0,0,0,0
1212,1,3,1,7,8,0,14,10,4,10,12
1077,1,4,1,7,8,0,0,0,0,0,15
1333,1,2,1,7,8,0,1,4,6,12,10
1133,1,3,1,4,9,0,14,9,8,4,14
1169,1,3,1,4,10,0,20,20,15,16,17
401,0,2,1,5,11,1,15,10,7,12,10
1416,1,3,1,5,15,0,15,14,0,0,16
759,0,4,1,4,17,1,16,16,11,15,13
1320,1,3,1,4,10,0,19,19,14,19,17
352,0,2,1,4,2,0,18,0,0,17,15
837,0,2,1,3,10,0,17,16,13,15,13
1378,1,2,1,4,17,0,10,4,4,5,13
302,0,3,1,3,5,0,0,0,0,0,0
400,0,2,1,4,11,0,0,0,0,0,0
652,0,2,1,4,13,0,19,0,0,15,16
456,0,15,1,3,14,1,16,6,11,12,15
1459,1,6,1,7,8,0,0,0,0,0,0
76,0,3,0,4,17,1,12,13,11,5,14
1271,1,3,1,5,5,0,0,0,0,0,0
1318,1,3,1,11,10,0,0,0,0,0,0
701,0,3,1,4,13,0,14,0,0,5,14
502,0,5,1,4,18,0,18,15,10,12,13
1152,1,2,1,9,8,0,0,0,0,0,0
1365,1,2,1,4,0,0,19,12,0,6,17
1136,1,5,1,4,10,0,17,18,14,19,17
1457,1,9,1,3,11,0,15,14,11,11,16
875,0,2,1,7,8,0,0,0,0,0,0
594,0,3,1,4,10,0,17,16,14,17,16
1346,1,2,1,4,9,0,16,14,12,13,14
511,0,1,1,4,13,0,14,0,0,0,0
399,0,2,1,5,11,0,16,7,6,5,16
722,0,2,1,4,11,0,0,0,0,0,0
892,0,4,1,3,8,0,20,13,8,16,16
1517,1,4,1,3,5,0,17,15,7,14,12
1454,1,2,1,7,8,0,17,10,4,14,13
800,0,4,1,4,0,1,0,0,0,0,0
1184,1,6,1,3,5,1,16,0,0,9,0
738,0,3,1,7,8,0,20,17,9,14,17
1400,1,2,1,3,0,0,19,13,0,10,14
395,0,3,1,3,5,1,0,0,0,0,0
651,0,2,1,5,7,0,18,15,0,0,14
1210,1,3,1,4,10,0,19,17,14,15,14
1449,1,2,1,11,10,0,18,16,0,0,0
911,0,3,1,5,13,0,0,0,0,0,0
712,0,4,1,4,5,1,18,12,12,8,14
435,0,2,1,4,4,0,16,13,0,14,14
860,0,2,1,4,4,0,14,10,0,0,15
392,0,3,1,7,8,0,0,0,0,0,0
1006,0,3,1,0,10,0,19,18,10,15,15
1237,1,7,1,10,10,0,19,18,13,17,14
446,0,4,1,7,8,0,20,16,11,14,16
1139,1,2,1,4,11,0,0,0,0,0,0
528,0,5,1,3,0,0,17,9,0,4,11
542,0,5,1,4,11,0,15,10,7,12,14
1408,1,5,1,9,10,0,18,18,13,16,14
649,0,16,1,6,2,0,0,0,0,0,0
371,0,4,1,4,0,1,18,9,0,14,16
451,0,3,1,5,14,0,0,0,0,0,0
1091,1,2,1,4,17,0,6,6,10,7,15
495,0,2,1,7,8,0,0,0,0,0,0
1464,1,4,1,3,10,0,19,15,13,15,16
1452,1,3,1,3,4,1,7,3,0,13,16
633,0,2,1,3,10,0,20,18,12,17,18
1110,1,6,1,3,2,0,15,0,0,13,13
468,0,4,1,4,2,1,15,0,0,7,9
893,0,6,1,3,10,1,19,17,13,18,16
8,0,2,0,4,13,1,18,15,0,10,13
361,0,4,1,9,10,0,0,0,0,0,0
950,0,3,1,7,8,0,15,0,0,11,11
1471,1,3,1,5,15,0,18,11,12,8,14
1207,1,4,1,4,0,0,15,18,0,15,13
1398,1,2,1,4,10,0,20,19,15,16,17
690,0,4,1,3,10,0,18,17,16,19,0
915,0,2,1,3,4,0,0,0,0,0,0
1415,1,14,1,6,4,0,12,5,0,8,9
566,0,3,1,7,8,1,19,19,13,19,18
900,0,4,1,4,10,0,19,16,11,11,0
961,0,3,1,5,18,0,17,16,11,14,14
1228,1,3,1,0,10,0,0,0,0,0,0
879,0,5,1,12,10,0,18,11,3,8,13
884,0,4,1,4,0,0,15,0,0,0,0
1496,1,3,1,4,10,0,19,17,16,18,16
1426,1,5,1,10,10,1,19,18,14,20,17
1051,0,13,1,1,12,0,18,12,0,17,13
897,0,2,1,4,0,0,20,12,0,11,14
1268,1,3,1,4,10,0,19,19,15,15,16
806,0,4,1,3,7,1,17,2,3,10,8
933,0,3,1,3,5,0,16,4,8,13,9
828,0,3,1,7,8,0,17,0,8,8,14
1367,1,2,1,7,8,0,0,0,0,0,0
774,0,3,1,5,4,1,15,11,0,12,17
1317,1,3,1,3,5,0,12,12,11,13,13
790,0,3,1,4,14,0,15,5,6,8,14
1003,0,3,1,5,12,0,7,9,0,10,14
1430,1,3,1,7,8,0,16,19,17,18,18
734,0,2,1,4,10,0,20,11,9,11,15
344,0,2,1,5,13,0,16,3,9,10,15
1277,1,4,1,9,8,0,0,0,0,0,0
814,0,2,1,4,6,0,14,8,0,13,15
997,0,14,1,6,18,0,20,14,13,8,15
1119,1,3,1,3,13,0,0,0,0,0,0
1147,1,2,1,5,11,0,0,0,0,0,0
1296,1,4,1,4,13,0,13,0,0,11,0
455,0,4,1,4,17,0,18,8,5,11,13
641,0,3,1,3,10,0,18,15,5,11,13
1050,0,4,1,4,8,0,16,17,10,15,14
1126,1,3,1,3,8,0,17,16,13,20,15
646,0,4,1,4,12,1,14,5,0,7,8
1021,0,5,1,7,8,0,13,12,7,13,12
1419,1,3,1,7,8,0,0,0,0,0,0
1285,1,4,1,9,10,0,12,12,10,16,14
894,0,2,1,4,13,0,17,0,0,12,11
864,0,5,1,11,10,0,20,19,11,18,16
1216,1,3,1,4,5,0,15,8,7,9,12
977,0,2,1,5,5,1,16,14,10,13,15
935,0,3,1,5,15,0,17,11,16,15,15
347,0,3,1,3,15,0,10,3,7,0,0
1060,0,3,1,4,13,0,0,0,0,0,0
655,0,2,1,3,10,0,16,16,10,17,16
752,0,3,1,4,10,0,19,17,15,19,15
1329,1,3,1,7,8,0,0,0,0,0,0
1314,1,9,1,3,15,1,9,4,4,12,9
1185,1,3,1,7,8,0,0,0,0,0,0
1034,0,2,1,4,12,0,19,11,0,13,14
449,0,13,1,6,17,0,12,6,5,3,11
383,0,3,1,4,13,0,17,0,0,8,14
1309,1,4,1,4,11,0,17,16,11,11,15
289,0,4,1,4,14,0,18,7,5,10,14
1274,1,2,1,3,0,0,17,13,0,16,17
479,0,5,1,13,5,1,14,0,0,0,2
627,0,5,1,4,15,0,10,8,9,9,13
537,0,2,1,5,13,1,14,5,5,7,13
667,0,4,1,4,5,1,0,0,0,0,0
640,0,2,1,7,8,0,14,0,0,11,0
843,0,3,1,3,4,1,15,7,17,8,13
1421,1,4,1,8,10,0,17,9,6,8,17
1344,1,3,1,5,13,1,10,0,0,11,12
899,0,2,1,3,4,0,17,14,0,14,13
1411,1,2,1,12,10,0,20,16,12,15,17
770,0,4,1,5,4,0,2,0,0,0,0
313,0,2,1,5,15,1,12,4,6,12,5
97,0,3,0,4,17,1,0,0,0,0,0
1440,1,4,1,9,10,0,19,15,12,18,17
1322,1,3,1,5,3,0,14,11,7,9,12
742,0,5,1,13,11,0,19,12,9,9,16
628,0,5,1,3,4,0,16,10,0,14,13
436,0,8,1,3,18,0,17,9,14,13,0
1018,0,5,1,4,13,0,9,0,0,9,11
465,0,3,1,3,18,0,17,8,5,11,14
1047,0,2,1,4,8,1,17,13,9,13,14
1334,1,2,1,7,8,0,0,0,0,8,0
1134,1,4,1,14,0,0,16,11,0,15,9
586,0,2,1,5,15,0,16,11,7,12,0
971,0,5,1,4,4,0,0,0,0,0,0
544,0,5,1,14,5,0,0,0,6,0,0
1273,1,3,1,4,9,1,0,0,0,0,0
704,0,3,1,5,4,0,11,13,0,4,0
1071,0,3,1,5,13,1,0,0,0,0,0
518,0,4,1,9,7,0,9,4,5,7,6
1251,1,3,1,4,10,0,19,20,19,18,18
450,0,2,1,3,4,0,19,8,0,12,15
410,0,7,1,3,14,1,18,12,4,10,14
981,0,2,1,4,17,0,15,12,11,11,15
650,0,4,1,4,4,0,0,0,0,14,12
954,0,3,1,5,4,0,0,0,0,0,0
1388,1,2,1,4,5,0,13,15,12,15,15
816,0,2,1,7,8,0,12,10,7,14,10
1278,1,7,1,14,8,0,0,0,0,0,0
1282,1,3,1,4,10,0,19,20,20,20,17
1362,1,16,1,6,18,0,0,0,0,0,0
454,0,3,1,5,13,0,15,0,0,7,13
283,0,2,1,4,8,0,0,0,0,0,0
1030,0,3,1,1,7,0,12,1,0,0,12
758,0,4,1,3,4,0,0,0,0,0,0
1510,1,2,1,4,10,0,18,18,17,19,15
340,0,4,1,4,12,0,11,0,0,18,0
1153,1,4,1,7,8,0,16,11,7,15,13
815,0,3,1,7,8,0,17,6,7,14,13
1031,0,2,1,5,4,0,17,15,0,15,12
490,0,2,1,4,15,0,17,9,10,13,8
91,0,4,0,4,13,1,0,0,0,0,0
564,0,2,1,4,5,0,17,17,10,16,12
851,0,3,1,11,11,0,0,0,0,0,0
636,0,3,1,3,11,0,0,0,0,0,0
415,0,4,1,10,10,0,20,6,5,4,8
1096,1,2,1,5,0,0,17,10,0,12,12
201,1,4,0,7,8,1,0,0,0,0,0
898,0,2,1,5,12,0,16,8,6,5,17
1413,1,6,1,3,15,1,0,0,0,0,0
1087,1,3,1,3,18,0,15,11,6,7,9
813,0,3,1,5,13,0,18,0,0,14,15
1495,1,3,1,3,13,0,14,0,0,15,0
938,0,3,1,3,17,1,11,8,5,10,9
1213,1,4,1,9,10,0,18,17,10,13,0
438,0,3,1,9,4,0,0,0,0,0,0
1231,1,3,1,5,5,0,12,17,7,6,17
951,0,2,1,5,13,0,20,0,0,17,15
760,0,3,1,4,5,0,17,15,13,15,16
1340,1,3,1,5,5,0,15,15,11,14,10
724,0,2,1,3,12,1,0,0,0,0,0
1112,1,2,1,3,8,0,13,5,9,8,12
1002,0,3,1,5,11,0,18,10,8,11,13
501,0,6,1,11,12,0,19,13,0,14,13
205,1,4,0,4,0,1,0,0,0,0,0
708,0,4,1,9,11,0,17,7,7,9,14
1444,1,3,1,4,11,0,14,11,10,8,15
525,0,4,1,3,10,0,20,16,9,18,15
1211,1,2,1,3,10,0,18,12,11,14,9
1476,1,3,1,3,15,0,15,7,7,11,11
634,0,2,1,3,13,0,12,0,0,11,14
1061,0,2,1,4,11,0,18,0,5,14,9
592,0,4,1,4,8,0,12,10,6,12,15
1024,0,2,1,4,0,0,18,9,0,11,13
379,0,3,1,7,8,0,0,0,0,0,0
1127,1,5,1,3,10,1,20,16,15,15,13
1381,1,3,1,4,10,0,17,18,14,18,17
336,0,2,1,4,11,0,15,3,1,12,13
579,0,4,1,10,10,0,19,15,11,12,0
1499,1,4,1,4,0,0,20,11,0,15,13
715,0,4,1,4,5,1,17,12,3,11,16
370,0,6,1,3,4,1,17,13,0,11,13
1302,1,3,1,11,10,0,1,19,10,17,0
1353,1,6,1,10,10,0,16,19,14,20,18
1389,1,5,1,10,10,0,19,19,16,14,13
1116,1,2,1,7,8,0,0,0,0,0,0
1384,1,2,1,4,15,0,0,0,0,0,0
